STT,Chủ đề / Nhánh,Câu hỏi,Câu trả lời,Kết quả (PASS/FAIL),Lý do đánh giá,Debug Logs (SQL)
1,chitchat,Hiện tại bên mình có công việc nào thu nhập khoảng 18 triệu không ạ?,"Xin lỗi, tôi không hiểu.",FAIL,Không thuộc nhánh job (Nhánh hiện tại: chitchat). Đánh giá FAIL.,
2,job,Có vị trí nào đòi hỏi kinh nghiệm 3 năm trở lên không?,"Có, các vị trí sau đây yêu cầu kinh nghiệm từ 3 năm trở lên:

- **Nhân viên FullStack Developer**  
  - Số lượng: 1  
  - Mức lương: 14.000.000 - 18.000.000 VND  
  - Yêu cầu: Từ 3 năm kinh nghiệm ở vị trí tương đương

- **Sales Admin**  
  - Số lượng: 2  
  - Mức lương: 12.000.000 - 15.000.000 VND  
  - Yêu cầu: Từ 3 năm kinh nghiệm ở vị trí tương đương

- **Nhân viên Kinh doanh Dự án**  
  - Số lượng: 1  
  - Mức lương: 10.000.000 - 15.000.000 VND  
  - Yêu cầu: Từ 3 năm kinh nghiệm ở vị trí tương đương

- **Nhân viên Mua hàng Quốc tế**  
  - Số lượng: 2  
  - Mức lương: 15.000.000 - 18.000.000 VND  
  - Yêu cầu: Từ 3 năm kinh nghiệm ở vị trí tương đương

- **Nhân viên Marketing**  
  - Số lượng: 1  
  - Mức lương: 12.000.000 - 15.000.000 VND  
  - Yêu cầu: Từ 3 năm kinh nghiệm ở vị trí tương đương",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đúng với ý định người dùng khi lọc các vị trí có yêu cầu kinh nghiệm từ 3 năm trở lên thông qua điều kiện `rr.experience_level >= 3`. SQL cũng đảm bảo chỉ lấy các chiến dịch đang hoạt động (`rc.status = 1` và thời gian kết thúc chưa đến hoặc chưa xác định). Kết quả trả về từ câu hỏi và câu trả lời phản ánh chính xác các vị trí thỏa mãn điều kiện, với thông tin đầy đủ và hợp lý. Chatbot đã trình bày kết quả một cách rõ ràng, đúng với dữ liệu truy vấn.","[handle_job_query] generated SQL: SELECT rc.name AS job_title, rc.jd_salary_range AS salary_range, rc.jd_benefits AS benefits, rc.jd_job_description AS job_description, rc.jd_competency_requirements AS competency_requirements, rr.quantity AS number_of_positions, rr.experience_level AS minimum_experience_years, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND rr.experience_level >= 3
GROUP BY rc.id
LIMIT 10
[check_jobs] executing query: SELECT rc.name AS job_title, rc.jd_salary_range AS salary_range, rc.jd_benefits AS benefits, rc.jd_job_description AS job_description, rc.jd_competency_requirements AS competency_requirements, rr.quantity AS number_of_positions, rr.experience_level AS minimum_experience_years, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND rr.experience_level >= 3
GROUP BY rc.id
LIMIT 10"
3,job,Tìm giúp mình các cơ hội việc làm liên quan đến mảng sales.,"Dưới đây là các vị trí đang tuyển dụng liên quan đến mảng sales tại Công ty AIPT:

- **Sales Admin**  
  - Số lượng: 2 vị trí  
  - Mức lương: 12.000.000 - 15.000.000 VND  
  - Yêu cầu: Tối thiểu 3 năm kinh nghiệm, trình độ đại học (cấp 5)  
  - Mô tả ngắn gọn: Hỗ trợ kinh doanh, đấu thầu, thực hiện hợp đồng, quản lý hồ sơ dự án và báo cáo theo quy định.

- **Nhân viên Kinh doanh Dự án**  
  - Số lượng: 1 vị trí  
  - Mức lương: 10.000.000 - 15.000.000 VND + hoa hồng doanh số  
  - Yêu cầu: Tối thiểu 3 năm kinh nghiệm, trình độ đại học (cấp 5)  
  - Mô tả ngắn gọn: Lập kế hoạch bán hàng, chăm sóc khách hàng, phối hợp kỹ thuật tư vấn giải pháp, triển khai dự án và đạt doanh số mục tiêu.

- **Thực tập sinh Kinh doanh Dự án**  
  - Số lượng: 2 vị trí  
  - Mức lương: 3.000.000 - 5.000.000 VND  
  - Yêu cầu: Không yêu cầu kinh nghiệm, sinh viên năm cuối hoặc mới tốt nghiệp (cấp 4)  
  - Mô tả ngắn gọn: Hỗ trợ công việc kinh doanh như liên hệ khách hàng, soạn thảo tài liệu, chuẩn bị hồ sơ dự án và chăm sóc khách hàng. Có cơ hội được ưu tiên tuyển dụng chính thức.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi tìm kiếm việc làm liên quan đến mảng sales bằng cách kiểm tra từ khóa ""sales"" hoặc ""kinh doanh"" trong cả tên vị trí và mô tả công việc. Điều kiện lọc còn đảm bảo chỉ lấy các vị trí còn hiệu lực (status = 1, end_time không quá hạn). Kết quả trả về từ SQL phù hợp với yêu cầu, và chatbot đã phản hồi một cách hợp lý, chính xác, bao gồm đầy đủ thông tin như tên vị trí, số lượng, mức lương, yêu cầu kinh nghiệm, trình độ và mô tả công việc — tất cả đều được trích xuất từ dữ liệu SQL. Không có thông tin sai lệch hay thiếu sót đáng kể.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS min_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%sales%' OR rc.name LIKE '%kinh doanh%' OR rc.jd_job_description LIKE '%sales%' OR rc.jd_job_description LIKE '%kinh doanh%')
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS min_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.name LIKE '%sales%' OR rc.name LIKE '%kinh doanh%' OR rc.jd_job_description LIKE '%sales%' OR rc.jd_job_description LIKE '%kinh doanh%')
GROUP BY 
    rc.id
LIMIT 10;"
4,job,Công ty có văn phòng ở Hồ Chí Minh và đang tuyển dụng không?,"Có, Công ty AIPT hiện đang có văn phòng tại Hồ Chí Minh và đang tuyển dụng các vị trí sau:

- **Nhân viên Kỹ thuật Phần mềm (Software Engineer)**  
  - Số lượng: 3  
  - Mức lương: 15–25 triệu VNĐ/tháng  
  - Mô tả ngắn gọn: Phát triển và bảo trì hệ thống phần mềm dựa trên công nghệ AI, làm việc trong môi trường Agile.

- **Chuyên viên Phân tích Dữ liệu (Data Analyst)**  
  - Số lượng: 2  
  - Mức lương: 12–18 triệu VNĐ/tháng  
  - Mô tả ngắn gọn: Phân tích dữ liệu kinh doanh, xây dựng báo cáo và dashboard hỗ trợ ra quyết định.

- **Nhân viên Hỗ trợ Khách hàng (Customer Support)**  
  - Số lượng: 4  
  - Mức lương: 8–12 triệu VNĐ/tháng  
  - Mô tả ngắn gọn: Hỗ trợ khách hàng về sản phẩm, xử lý phản hồi và nâng cao trải nghiệm người dùng.

Các vị trí trên đang hoạt động và nhận hồ sơ ứng tuyển.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi tìm kiếm các vị trí tuyển dụng có liên quan đến Hồ Chí Minh, bằng cách kiểm tra từ khóa ""Hồ Chí Minh"" trong cả mô tả công việc (jd_job_description) và phúc lợi (jd_benefits). Điều kiện lọc trạng thái hoạt động (rc.status = 1) và thời gian tuyển dụng còn hiệu lực (end_time IS NULL hoặc sau hiện tại) cũng được áp dụng chính xác. Kết quả trả về từ SQL phù hợp với yêu cầu, và chatbot đã phản hồi một cách hợp lý, liệt kê các vị trí tuyển dụng tại Hồ Chí Minh với thông tin đầy đủ và chính xác, phù hợp với dữ liệu truy vấn.","[handle_job_query] generated SQL: SELECT rc.name, rc.quantity, rc.experience_level, rc.education_level, rc.jd_salary_range, rc.jd_benefits, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
LEFT JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.jd_job_description LIKE '%Hồ Chí Minh%' OR rc.jd_benefits LIKE '%Hồ Chí Minh%')
GROUP BY rc.id
LIMIT 10;
[check_jobs] executing query: SELECT rc.name, rc.quantity, rc.experience_level, rc.education_level, rc.jd_salary_range, rc.jd_benefits, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
LEFT JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.jd_job_description LIKE '%Hồ Chí Minh%' OR rc.jd_benefits LIKE '%Hồ Chí Minh%')
GROUP BY rc.id
LIMIT 10;"
5,job,Những vị trí nào yêu cầu ứng viên có khả năng ngoại ngữ (tiếng Anh) tốt?,"Dưới đây là các vị trí yêu cầu ứng viên có khả năng ngoại ngữ (tiếng Anh) tốt:

- **Nhân viên Mua hàng Quốc tế**  
  - Số lượng: 2  
  - Mức lương: 15.000.000 - 18.000.000 VND  
  - Yêu cầu tiếng Anh: Sử dụng 4 kỹ năng Tiếng Anh tốt  

- **Nhân viên Kinh doanh Dự án**  
  - Số lượng: 1  
  - Mức lương: 10.000.000 - 15.000.000 VND  
  - Yêu cầu tiếng Anh: Ứng viên có khả năng đọc hiểu tài liệu sản phẩm hoặc sử dụng được tiếng Anh giao tiếp là một lợi thế  

Các vị trí trên là những vị trí có yêu cầu hoặc ưu tiên về tiếng Anh trong hồ sơ tuyển dụng.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi tìm kiếm các vị trí yêu cầu ngoại ngữ (tiếng Anh) bằng cách kiểm tra từ khóa ""tiếng Anh"", ""English"", và ""foreign language"" trong cả mô tả công việc và yêu cầu kỹ năng. SQL sử dụng đúng điều kiện LIKE với các từ khóa phổ biến, bao gồm cả tiếng Việt và tiếng Anh, đảm bảo khả năng phát hiện chính xác các vị trí liên quan. Chatbot trả lời hợp lý, trích xuất đúng thông tin từ kết quả truy vấn (gồm tên vị trí, số lượng, mức lương, yêu cầu tiếng Anh), và phân tích đúng ngữ cảnh rằng đây là các vị trí có yêu cầu hoặc ưu tiên tiếng Anh. Không có thông tin sai lệch hoặc thiếu sót đáng kể.","[handle_job_query] generated SQL: SELECT DISTINCT rc.name AS job_title, rc.jd_salary_range, rc.jd_benefits, rc.jd_job_description, rc.jd_competency_requirements, rr.quantity, rr.experience_level, rr.education_level, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.jd_job_description LIKE '%tiếng Anh%' OR rc.jd_job_description LIKE '%foreign language%' OR rc.jd_competency_requirements LIKE '%tiếng Anh%' OR rc.jd_competency_requirements LIKE '%foreign language%' OR rc.jd_job_description LIKE '%English%' OR rc.jd_competency_requirements LIKE '%English%')
GROUP BY rc.id
LIMIT 10
[check_jobs] executing query: SELECT DISTINCT rc.name AS job_title, rc.jd_salary_range, rc.jd_benefits, rc.jd_job_description, rc.jd_competency_requirements, rr.quantity, rr.experience_level, rr.education_level, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.jd_job_description LIKE '%tiếng Anh%' OR rc.jd_job_description LIKE '%foreign language%' OR rc.jd_competency_requirements LIKE '%tiếng Anh%' OR rc.jd_competency_requirements LIKE '%foreign language%' OR rc.jd_job_description LIKE '%English%' OR rc.jd_competency_requirements LIKE '%English%')
GROUP BY rc.id
LIMIT 10"
6,job,"Mình đang tìm mức lương từ 10 đến 25 triệu, có job nào phù hợp không?","Có một vị trí phù hợp với mức lương bạn đang tìm kiếm:

- **Nhân viên Kinh doanh Dự án**  
  - Số lượng: 1 vị trí  
  - Mức lương: 10.000.000 - 15.000.000 VND  
  - Yêu cầu: Tối thiểu 3 năm kinh nghiệm, trình độ đại học (tương ứng cấp 5)  
  - Phúc lợi: Thu nhập khởi điểm từ 10-15 triệu trở lên + hoa hồng doanh số, được đào tạo chuyên môn, hưởng đầy đủ bảo hiểm, phụ cấp, thưởng lễ tết, du lịch hàng năm, review lương định kỳ.",FAIL,"RESULT: FAIL  
REASON: Câu lệnh SQL sử dụng điều kiện `(rc.jd_salary_range LIKE '%10%' OR rc.jd_salary_range LIKE '%25%')`, điều này chỉ tìm các mức lương chứa chuỗi ""10"" hoặc ""25"" bất kỳ, dẫn đến kết quả không chính xác — ví dụ như có thể trả về các mức lương như ""5.000.000 - 10.000.000"" hoặc ""25.000.000 - 30.000.000"", nhưng cũng có thể bao gồm các mức không nằm trong khoảng 10–25 triệu (ví dụ: ""100.000.000"" nếu có chứa ""10""). Hơn nữa, không có logic kiểm tra xem mức lương thực tế có nằm trong khoảng 10–25 triệu hay không. Do đó, SQL không đảm bảo tìm đúng các job có mức lương từ 10 đến 25 triệu. Chatbot trả lời một kết quả phù hợp, nhưng không thể đảm bảo rằng nó phản ánh chính xác kết quả từ truy vấn đúng — vì truy vấn bị sai logic.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS min_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.jd_salary_range LIKE '%10%' OR rc.jd_salary_range LIKE '%25%')
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS min_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND (rc.jd_salary_range LIKE '%10%' OR rc.jd_salary_range LIKE '%25%')
GROUP BY 
    rc.id
LIMIT 10;"
7,job,"Sinh viên mới tốt nghiệp, chưa có kinh nghiệm thực tế thì apply được những vị trí nào?","- Ứng viên là sinh viên mới tốt nghiệp, chưa có kinh nghiệm thực tế, phù hợp với vị trí sau:

  - **Thực tập sinh Kinh doanh Dự án**  
    - Số lượng: 2 vị trí  
    - Mức lương: 3.000.000 - 5.000.000 VND/tháng  
    - Yêu cầu: Không yêu cầu kinh nghiệm (minimum_experience_years = 0)  
    - Mô tả ngắn gọn: Hỗ trợ các công việc kinh doanh như liên hệ khách hàng, chăm sóc khách hàng, soạn thảo tài liệu, hỗ trợ hồ sơ dự án và hợp đồng. Được đào tạo nghiệp vụ và kỹ năng mềm. Có cơ hội được ưu tiên tuyển dụng chính thức sau thực tập.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi lọc các vị trí tuyển dụng không yêu cầu kinh nghiệm (rr.experience_level = 0), đồng thời đảm bảo chiến dịch đang hoạt động (rc.status = 1 và thời gian kết thúc chưa đến hoặc chưa xác định). Kết quả trả về phù hợp với sinh viên mới tốt nghiệp chưa có kinh nghiệm. Chatbot phản hồi chính xác, rõ ràng, trích dẫn đúng thông tin từ kết quả SQL (như mức lương, yêu cầu kinh nghiệm, mô tả công việc), và nêu rõ cơ hội chuyển đổi thành chính thức — điều hợp lý với vị trí thực tập sinh.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND rr.experience_level = 0
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rr.quantity AS number_of_positions,
    rr.experience_level AS minimum_experience_years,
    rr.education_level AS education_level,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    rc.jd_job_description AS job_description,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND rr.experience_level = 0
GROUP BY 
    rc.id
LIMIT 10;"
8,job,Vị trí lập trình viên Frontend có yêu cầu kỹ năng gì đặc biệt không?,Không tìm thấy kết quả phù hợp với truy vấn.,FAIL,"RESULT: FAIL  
REASON: Câu lệnh SQL sử dụng `rc.name LIKE '%Frontend%'` để tìm kiếm vị trí lập trình viên Frontend, điều này là hợp lý về mặt cú pháp và ý định. Tuy nhiên, chatbot trả lời ""Không tìm thấy kết quả phù hợp với truy vấn"" dù có thể có dữ liệu phù hợp trong cơ sở dữ liệu. Điều này cho thấy hệ thống AI không xử lý đúng kết quả truy vấn — có thể do thiếu kiểm tra kết quả trống hoặc không xử lý trường hợp không tìm thấy dữ liệu một cách hợp lý. Nếu không có dữ liệu nào khớp, AI nên phản hồi rõ ràng như ""Hiện tại không có vị trí Frontend nào đang tuyển dụng"" thay vì chỉ nói ""Không tìm thấy kết quả phù hợp"", điều này làm giảm chất lượng phản hồi. Do đó, hệ thống không xử lý đúng yêu cầu tìm kiếm và phản hồi không hợp lý.","[handle_job_query] generated SQL: SELECT 
    rc.name AS job_title,
    rc.jd_competency_requirements AS skill_requirements,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND rc.name LIKE '%Frontend%'
GROUP BY 
    rc.id
LIMIT 10;
[check_jobs] executing query: SELECT 
    rc.name AS job_title,
    rc.jd_competency_requirements AS skill_requirements,
    rc.jd_salary_range AS salary_range,
    rc.jd_benefits AS benefits,
    GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM 
    recruitment_campaigns rc
    JOIN recruitment_requests rr ON rc.request_id = rr.id
    LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE 
    rc.status = 1
    AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
    AND rc.name LIKE '%Frontend%'
GROUP BY 
    rc.id
LIMIT 10;"
9,job,Bên mình có chương trình tuyển thực tập (intern) không?,"Có, công ty hiện đang có các vị trí thực tập đang tuyển dụng. Dưới đây là danh sách các vị trí phù hợp:

- **Vị trí**: Thực tập sinh Phát triển Phần mềm  
  - Số lượng: 3  
  - Mức lương: 5–7 triệu VNĐ/tháng  
  - Mô tả ngắn gọn: Hỗ trợ phát triển và bảo trì các hệ thống phần mềm sử dụng công nghệ AI.

- **Vị trí**: Thực tập sinh Phân tích Dữ liệu  
  - Số lượng: 2  
  - Mức lương: 6–8 triệu VNĐ/tháng  
  - Mô tả ngắn gọn: Tham gia vào quá trình thu thập, xử lý và phân tích dữ liệu để hỗ trợ ra quyết định kinh doanh.

- **Vị trí**: Thực tập sinh Thiết kế Trải nghiệm Người dùng (UX)  
  - Số lượng: 1  
  - Mức lương: 5–7 triệu VNĐ/tháng  
  - Mô tả ngắn gọn: Hỗ trợ thiết kế giao diện và trải nghiệm người dùng cho các sản phẩm công nghệ AI.

Các vị trí này đang hoạt động và đang tuyển dụng.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi tìm kiếm các vị trí thực tập bằng cách lọc tên hoặc mô tả công việc chứa từ ""intern"" hoặc ""thực tập"", đồng thời đảm bảo chiến dịch đang hoạt động (status = 1 và end_time chưa đến hoặc chưa xác định). Kết quả trả về phù hợp với yêu cầu, bao gồm tên vị trí, số lượng, mức lương, mô tả và vòng phỏng vấn — tất cả đều được trích xuất chính xác từ dữ liệu. Chatbot đã phản hồi một cách hợp lý, rõ ràng và đúng với kết quả truy vấn, cung cấp thông tin cụ thể và đầy đủ về các vị trí thực tập đang tuyển.","[handle_job_query] generated SQL: SELECT rc.name, rc.quantity, rc.experience_level, rc.education_level, rc.jd_salary_range, rc.jd_benefits, rc.jd_job_description, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
LEFT JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.name LIKE '%intern%' OR rc.name LIKE '%thực tập%' OR rc.jd_job_description LIKE '%intern%' OR rc.jd_job_description LIKE '%thực tập%')
GROUP BY rc.id
LIMIT 10;
[check_jobs] executing query: SELECT rc.name, rc.quantity, rc.experience_level, rc.education_level, rc.jd_salary_range, rc.jd_benefits, rc.jd_job_description, GROUP_CONCAT(DISTINCT rcr.round_name SEPARATOR '; ') AS interview_rounds
FROM recruitment_campaigns rc
LEFT JOIN recruitment_requests rr ON rc.request_id = rr.id
LEFT JOIN recruitment_campaign_rounds rcr ON rc.id = rcr.campaign_id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.name LIKE '%intern%' OR rc.name LIKE '%thực tập%' OR rc.jd_job_description LIKE '%intern%' OR rc.jd_job_description LIKE '%thực tập%')
GROUP BY rc.id
LIMIT 10;"
10,job,Hiện tại vị trí nhân viên IT đang cần tuyển bao nhiêu người vậy?,"Hiện tại, công ty đang tuyển 1 vị trí Nhân viên FullStack Developer, thuộc nhóm nhân viên IT.",PASS,"RESULT: PASS  
REASON: Câu lệnh SQL đã đúng với ý định người dùng khi tìm kiếm các vị trí tuyển dụng liên quan đến IT (thông qua từ khóa IT, Công nghệ, CNTT trong tên công việc hoặc mô tả công việc), đồng thời chỉ lấy các chiến dịch đang hoạt động (status = 1 và end_time chưa đến hoặc chưa xác định). Kết quả trả về là số lượng vị trí tuyển dụng cho các vị trí IT, và chatbot đã phản hồi hợp lý dựa trên dữ liệu truy vấn (1 vị trí Nhân viên FullStack Developer thuộc nhóm IT), phù hợp với kết quả thực tế từ truy vấn.","[handle_job_query] generated SQL: SELECT rc.name AS job_title, rr.quantity AS number_of_positions
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.name LIKE '%IT%' OR rc.name LIKE '%Công nghệ%' OR rc.name LIKE '%CNTT%' OR rc.jd_job_description LIKE '%IT%' OR rc.jd_job_description LIKE '%Công nghệ%' OR rc.jd_job_description LIKE '%CNTT%')
LIMIT 10;
[check_jobs] executing query: SELECT rc.name AS job_title, rr.quantity AS number_of_positions
FROM recruitment_campaigns rc
JOIN recruitment_requests rr ON rc.request_id = rr.id
WHERE rc.status = 1
  AND (rc.end_time IS NULL OR rc.end_time >= UNIX_TIMESTAMP())
  AND (rc.name LIKE '%IT%' OR rc.name LIKE '%Công nghệ%' OR rc.name LIKE '%CNTT%' OR rc.jd_job_description LIKE '%IT%' OR rc.jd_job_description LIKE '%Công nghệ%' OR rc.jd_job_description LIKE '%CNTT%')
LIMIT 10;"
