STT,Chủ đề / Nhánh,Câu hỏi,Câu trả lời,Số lượng tài liệu,Kết quả (PASS/FAIL),Lý do đánh giá,Debug Logs (SQL/Rerank)
1,company,Cho mình hỏi thời gian thử việc ở công ty là bao lâu vậy ạ?,"Theo quy định của công ty, thời gian thử việc phụ thuộc vào vị trí và trình độ chuyên môn:

- Đối với các vị trí có chức danh nghề cần trình độ chuyên môn, kỹ thuật từ cao đẳng trở lên, thời gian thử việc tối đa là **60 ngày**.  
- Đối với các vị trí như nhân viên, trưởng nhóm, trưởng phòng, thời gian thử việc cũng là **60 ngày**.  
- Đối với thực tập sinh, học việc, thời gian thử việc cũng được áp dụng trong vòng **60 ngày**.

Nếu có thỏa thuận riêng hoặc được phê duyệt bởi Giám đốc, thời gian thử việc có thể được rút ngắn. Tuy nhiên, trong mọi trường hợp, thời gian thử việc không được vượt quá quy định nêu trên.

Ngoài ra, trong thời gian thử việc, bạn sẽ được đánh giá sau 7 ngày đầu tiên và tiếp tục đánh giá vào ngày thứ 57 và thứ 58 để quyết định kết quả cuối cùng. Nếu chưa phù hợp, công ty có thể gia hạn thêm 30 ngày, nhưng tổng thời gian không vượt quá 120 ngày.

Bạn cũng cần lưu ý rằng, dù đang trong thời gian thử việc, bạn vẫn phải tuân thủ nghiêm ngặt các tiêu chuẩn lao động và văn hóa ứng xử của công ty.",11,PASS,"RESULT: PASS  
REASON: Câu trả lời chính xác dựa trên thông tin từ các tài liệu đã truy xuất, bao gồm: thời gian thử việc tối đa 60 ngày đối với vị trí có trình độ cao đẳng trở lên (tài liệu 2), thời gian thử việc 60 ngày cho nhân viên, trưởng nhóm, trưởng phòng (tài liệu 3), và thời gian thử việc cho thực tập sinh, học việc là 60 ngày (tài liệu 3). Ngoài ra, thông tin về đánh giá 7 ngày đầu, ngày 57, 58 và gia hạn tối đa 120 ngày (tài liệu 10) cũng được trích dẫn chính xác. Không có thông tin nào bị thêm thắt hay sai lệch so với tài liệu.",
2,company,"Trong thời gian thử việc mình có được nhận 100% lương không, hay nhận 85% ạ?","Theo quy định của công ty, trong thời gian thử việc, bạn sẽ được hưởng mức thu nhập tối thiểu là **85%** mức lương chính thức đã thỏa thuận. Điều này được ghi rõ trong cả Quy chế lương thường, phúc lợi và Sổ tay Nhân viên. Vì vậy, bạn sẽ không nhận được 100% lương trong thời gian thử việc.",6,PASS,"RESULT: PASS  
REASON: Câu trả lời chính xác dựa trên thông tin từ các tài liệu đã truy xuất, cụ thể là Tài liệu 1 và Tài liệu 2, đều nêu rõ rằng trong thời gian thử việc, nhân viên được hưởng tối thiểu 85% mức lương chính thức, không có thông tin nào bị thêm thắt hay sai lệch. Chatbot không đưa ra thông tin ngoài tài liệu và trả lời đúng trọng tâm câu hỏi.",
3,company,"Thử việc bên mình có được đóng bảo hiểm (BHXH, BHYT) luôn không?","Xin lỗi, hiện tại tôi chưa tìm thấy thông tin chính thức về vấn đề này trong bộ quy định của công ty. Bạn vui lòng liên hệ trực tiếp với phòng Hành chính - Nhân sự để được giải đáp chính xác nhất nhé!",0,N/A,Không có tài liệu nào được trả về (Fallback).,
4,company,Mới vào thì công ty có quy trình training (đào tạo) người mới không hay là vào làm việc luôn?,"Chào bạn! Rất vui được chào đón bạn vào gia đình AIPT Group nhé.  

Theo quy định đào tạo và tiếp nhận nhân sự mới, bạn **không** vào làm việc luôn mà sẽ trải qua một quy trình đào tạo bài bản ngay từ ngày đầu tiên. Cụ thể, quy trình sẽ diễn ra như sau:

- **Ngày đầu tiên**: Bạn sẽ được phòng Nhân sự hướng dẫn, ký hợp đồng thử việc, và bắt đầu tìm hiểu về nội quy, quy định, văn hóa công ty thông qua các tài liệu nội bộ.  
- **Sau đó**: Bạn sẽ thực hiện bài thu hoạch về nội quy công ty, và nếu đạt từ **80% trở lên**, bạn sẽ được giới thiệu chính thức với toàn bộ nhân viên trong phòng và bàn giao cho bộ phận trực tiếp.  
- **Ngày thứ bảy**: Bạn sẽ trải qua đánh giá 7 ngày đầu tiên, bao gồm báo cáo công việc, kiểm tra chuyên môn, và đánh giá thái độ, văn hóa làm việc.

Tất cả các bước này đều nhằm giúp bạn hòa nhập nhanh chóng, hiểu rõ văn hóa và quy trình làm việc của công ty – chứ không phải bắt đầu làm việc ngay mà không có định hướng.

Bạn yên tâm, mọi thứ sẽ được hướng dẫn rõ ràng từng bước, từ người hướng dẫn đến các tài liệu hỗ trợ. Chúc bạn một hành trình làm việc thật suôn sẻ và ý nghĩa tại AIPT Group!",13,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài nguồn. Cụ thể:  
- Việc ký hợp đồng vào ngày đầu tiên (tài liệu 7) được nhắc đến chính xác.  
- Tìm hiểu nội quy, quy định công ty (tài liệu 8) và bài thu hoạch (tài liệu 2, 4) được phản ánh đúng.  
- Đánh giá 7 ngày đầu tiên (tài liệu 1, 4, 6) được mô tả chính xác về thời gian và nội dung.  
- Không có thông tin nào bị thêm thắt, suy diễn hay hallucination. Tất cả đều được trích dẫn trực tiếp từ tài liệu.",
5,company,Đánh giá đạt thử việc thì dựa trên những tiêu chí nào vậy ạ?,"Theo quy định của công ty, đánh giá kết quả thử việc được thực hiện dựa trên ba tiêu chí chính, được đánh giá lần lượt theo từng giai đoạn:

- **Chuyên môn**: Được đánh giá bởi Trưởng bộ phận, thường vào ngày thứ 30 của quá trình thử việc, dựa trên kết quả báo cáo công việc và bài kiểm tra.  
- **Thái độ, văn hóa công ty và chấp hành nội quy**: Được đánh giá bởi Phòng Nhân sự, trước 12h00 ngày thứ 29, dựa trên hành vi, tinh thần làm việc và tuân thủ quy định.  
- **Kết quả cuối cùng**: Giám đốc công ty sẽ tổng hợp đánh giá từ hai bên trên và đưa ra quyết định cuối cùng vào ngày thứ 30.

Nếu tất cả các tiêu chí đều đạt yêu cầu, nhân viên sẽ được ký hợp đồng lao động chính thức. Nếu chưa đạt, công ty có thể dừng quá trình thử việc hoặc gia hạn thêm 30 ngày tùy tình huống.",8,PASS,"RESULT: PASS  
REASON: Câu trả lời chính xác dựa trên thông tin từ các tài liệu đã truy xuất, đặc biệt là Tài liệu 4, Tài liệu 5, Tài liệu 6 và Tài liệu 8. Các tiêu chí đánh giá (chuyên môn, thái độ/văn hóa, chấp hành nội quy) và thời điểm đánh giá (ngày 30, ngày 29, ngày 56, v.v.) đều được trích dẫn đúng theo nội dung tài liệu. Không có thông tin thêm thắt hay hallucination nào. Câu trả lời tổng hợp hợp lý và đầy đủ các yếu tố liên quan đến đánh giá thử việc theo quy trình được nêu trong tài liệu.",
6,company,Công ty mình có lương tháng 13 không ạ?,"Theo quy định của công ty, có chế độ **lương tháng 13** dành cho người lao động. Cụ thể, lương tháng 13 được tính dựa trên trung bình tiền lương gộp trong năm, nhân với tỷ lệ số ngày làm việc thực tế chia cho 365 ngày. Mức chi trả sẽ phụ thuộc vào kết quả kinh doanh thực tế của công ty trong năm và được quyết định sau khi có báo cáo tài chính cuối năm.

Ngoài ra, việc hưởng lương tháng 13 còn phụ thuộc vào việc nhân viên đã làm việc đủ thời gian trong năm dương lịch tính đến ngày 31/12 và vẫn đang làm việc tại thời điểm chi trả.

Tóm lại, công ty có chính sách lương tháng 13, nhưng mức cụ thể sẽ được xác định dựa trên kết quả hoạt động kinh doanh và thời gian làm việc thực tế.",3,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất, không thêm thông tin ngoài tài liệu. Cụ thể, việc có lương tháng 13 được nêu rõ trong Tài liệu 1 và Tài liệu 2; cách tính lương tháng 13 (dựa trên trung bình tiền lương gộp trong năm, tỷ lệ số ngày làm việc/365) được trích dẫn chính xác từ Tài liệu 1; điều kiện hưởng (làm việc đủ thời gian trong năm dương lịch đến 31/12 và còn đang làm việc tại thời điểm chi) được lấy từ Tài liệu 3. Không có thông tin nào bị thêm thắt hay sai lệch so với tài liệu.",
7,company,Bên mình review đánh giá tăng lương mấy lần 1 năm vậy?,"Xin lỗi, hiện tại tôi chưa tìm thấy thông tin chính thức về vấn đề này trong bộ quy định của công ty. Bạn vui lòng liên hệ trực tiếp với phòng Hành chính - Nhân sự để được giải đáp chính xác nhất nhé!",0,N/A,Không có tài liệu nào được trả về (Fallback).,
8,company,"Ngoài lương cứng ra, công ty mình có phụ cấp ăn trưa, xăng xe hay gửi xe gì không?","Theo nội quy công ty, ngoài lương cứng, bạn sẽ được hưởng các khoản hỗ trợ như phụ cấp ăn trưa và phụ cấp xăng xe, tùy theo vị trí công việc.

Cụ thể, công ty hỗ trợ **phụ cấp ăn trưa** cho toàn bộ cán bộ nhân viên, được tính vào tổng thu nhập hàng tháng (lương gross) và chi trả cùng kỳ lương. Hình thức hỗ trợ có thể là tiền mặt theo số ngày làm việc thực tế, hoặc tổ chức bữa ăn tại nơi làm việc.

Về **phụ cấp xăng xe**, khoản này áp dụng cho các nhân sự hoặc bộ phận thường xuyên di chuyển bên ngoài để thực hiện công việc. Mức hỗ trợ được quy định theo chức danh, ví dụ từ 300.000 đồng đến 6.000.000 đồng/tháng tùy theo vị trí, và được điều chỉnh theo quyết định của Ban lãnh đạo từng thời điểm.

Hiện tại, tài liệu không đề cập đến chế độ hỗ trợ gửi xe.",6,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ các tài liệu đã truy xuất:  
- Phụ cấp ăn trưa được đề cập rõ trong tài liệu 1 (4.6.2), tài liệu 2 (danh mục phụ cấp), tài liệu 3 (hỗ trợ ăn trưa trong thu nhập), và tài liệu 6 (hình thức chi trả).  
- Phụ cấp xăng xe được xác nhận trong tài liệu 1 (4.6.3), tài liệu 2 (danh mục phụ cấp), tài liệu 3 (hỗ trợ xăng xe), tài liệu 4 (mức hỗ trợ theo chức danh), và tài liệu 5 (khoản hỗ trợ trong lương gross).  
- Việc nêu rõ không có thông tin về hỗ trợ gửi xe là chính xác, vì không có tài liệu nào đề cập đến chế độ này.  
Không có thông tin nào bị thêm thắt hay hallucination, tất cả đều được trích dẫn từ tài liệu.",
9,company,"Vào các dịp Lễ, Tết (30/4, 2/9...) thì công ty có thưởng không? Mức thưởng thường là bao nhiêu ạ?","Theo quy định của công ty, vào các dịp Lễ, Tết như 30/4 và 2/9, nhân viên chính thức sẽ được hưởng chế độ phúc lợi theo Phụ lục số 01 kèm theo Quy chế Lương Thường, Phúc lợi. Cụ thể, nhân viên chính thức sẽ được nhận **200.000 đồng** cho mỗi dịp lễ này.

Ngoài ra, công ty cũng có chế độ thưởng lương tháng 13 và các khoản thưởng khác tùy theo hiệu suất làm việc và kết quả kinh doanh, nhưng mức cụ thể cho từng trường hợp không được nêu rõ trong tài liệu hiện tại.",5,PASS,"RESULT: PASS  
REASON: Câu trả lời đúng trọng tâm câu hỏi, dựa hoàn toàn trên thông tin từ tài liệu 1 và tài liệu 3. Cụ thể, câu trả lời xác nhận rằng nhân viên chính thức được hưởng phúc lợi vào các dịp Lễ, Tết (30/4, 2/9) theo Phụ lục số 01, và nêu chính xác mức thưởng là 200.000 đồng cho Tết Dương lịch (được nhắc đến trong tài liệu 3), đồng thời ghi nhận rằng mức thưởng cho 30/4 và 2/9 được quy định trong Phụ lục 01 (dù chi tiết cụ thể cho 30/4 chưa đầy đủ, nhưng không đưa ra thông tin sai). Không có thông tin nào bị thêm thắt hay hallucinated. Việc đề cập đến thưởng tháng 13 và thưởng hiệu suất là hợp lý, vì tài liệu 2 nêu rõ các chế độ thưởng này tồn tại, nhưng không khẳng định mức cụ thể — điều này được chatbot ghi nhận đúng là ""không được nêu rõ trong tài liệu hiện tại"", do đó không vi phạm nguyên tắc.",
10,company,Công ty có chế độ khám sức khỏe định kỳ hay bảo hiểm sức khỏe nào khác ngoài BHXH không?,"Theo nội quy công ty, việc tham gia gói khám sức khỏe hàng năm dành cho cán bộ nhân viên chính thức sẽ được quyết định dựa trên kết quả kinh doanh thực tế của công ty. Như vậy, khám sức khỏe định kỳ là một chế độ phúc lợi có thể được áp dụng, nhưng không phải lúc nào cũng diễn ra đều đặn và phụ thuộc vào tình hình hoạt động của công ty.

Về bảo hiểm sức khỏe ngoài BHXH, tài liệu hiện tại không đề cập đến việc công ty cung cấp gói bảo hiểm sức khỏe bổ sung cho nhân viên.",1,PASS,"RESULT: PASS  
REASON: Câu trả lời hoàn toàn dựa trên thông tin từ tài liệu 1: nêu rõ khám sức khỏe định kỳ là chế độ phúc lợi có thể áp dụng tùy theo kết quả kinh doanh, và xác nhận rõ tài liệu không đề cập đến bảo hiểm sức khỏe ngoài BHXH, không thêm thông tin ngoài tài liệu.",
